platformGameId,team_side,building_destroyed,destroyed_opponent_buildings,champion_kill,baron_kill,riftHerald_kill,dragon_kill,first_baron_team,first_riftHerald_team,vision_score,game_time,game_end,long_official_team_id
ESPORTSTMNT03:3195064,200,3,9,27,1,1,3,1,1,10,2500,1,110534741480867943
ESPORTSTMNT03:3195064,100,9,3,15,0,1,0,0,0,10,2500,0,107580497041999074
ESPORTSTMNT03:3195262,200,3,10,21,1,2,3,1,1,10,2500,1,110534714934488523
ESPORTSTMNT03:3195262,100,10,3,4,0,0,2,0,0,10,2500,0,107580483738977500
ESPORTSTMNT03:3195276,200,5,14,21,2,0,3,1,0,10,2500,1,110733881542862348
ESPORTSTMNT03:3195276,100,14,5,17,0,2,1,0,1,10,2500,0,109783149221216052
ESPORTSTMNT03:3195300,200,8,0,7,0,1,1,0,1,10,2500,0,110534700622694005
ESPORTSTMNT03:3195300,100,0,8,35,0,1,2,0,0,10,2500,1,110733864366329081
ESPORTSTMNT03:3195306,200,4,10,13,1,0,4,1,0,10,2500,1,110534696811298545
ESPORTSTMNT03:3195306,100,10,4,2,0,2,0,0,1,10,2500,0,109981647134921596
ESPORTSTMNT03:3196037,200,12,2,7,0,0,0,0,0,10,2500,0,110733889090164854
ESPORTSTMNT03:3196037,100,2,12,22,1,2,2,1,1,10,2500,1,109981650516317055
ESPORTSTMNT03:3196049,200,2,10,16,1,1,3,1,0,10,2500,1,109981650516317055
ESPORTSTMNT03:3196049,100,10,2,14,0,1,0,0,1,10,2500,0,110733889090164854
ESPORTSTMNT03:3196051,200,4,10,23,1,2,2,0,1,10,2500,1,110534741480867943
ESPORTSTMNT03:3196051,100,10,4,4,1,0,2,1,0,10,2500,0,107580497041999074
ESPORTSTMNT03:3196057,200,6,13,22,1,0,4,1,0,10,2500,1,110534728305628996
ESPORTSTMNT03:3196057,100,13,6,21,2,2,3,0,1,10,2500,0,110733870612047344
ESPORTSTMNT03:3196058,200,9,1,6,0,0,1,0,0,10,2500,0,110534732558665825
ESPORTSTMNT03:3196058,100,1,9,24,1,2,2,1,1,10,2500,1,110733877357854829
ESPORTSTMNT03:3196275,200,3,11,19,1,2,2,1,1,10,2500,1,110534696811298545
ESPORTSTMNT03:3196275,100,11,3,6,0,0,1,0,0,10,2500,0,109981647134921596
ESPORTSTMNT03:3197014,200,10,1,6,0,1,1,0,1,10,2500,0,110534732558665825
ESPORTSTMNT03:3197014,100,1,10,20,1,1,2,1,0,10,2500,1,110733877357854829
ESPORTSTMNT03:3197025,200,12,2,8,0,0,0,0,0,10,2500,0,110534728305628996
ESPORTSTMNT03:3197025,100,2,12,26,1,2,2,1,1,10,2500,1,110733870612047344
ESPORTSTMNT03:3197182,200,1,8,22,1,1,3,1,0,10,2500,1,109783149221216052
ESPORTSTMNT03:3197182,100,8,1,6,0,1,0,0,1,10,2500,0,110733881542862348
ESPORTSTMNT03:3197195,200,11,4,8,0,1,2,0,0,10,2500,0,107580483738977500
ESPORTSTMNT03:3197195,100,4,11,20,2,1,3,1,1,10,2500,1,110534714934488523
ESPORTSTMNT03:3197205,200,14,2,13,0,1,1,0,1,10,2500,0,110534700622694005
ESPORTSTMNT03:3197205,100,2,14,20,2,1,3,1,0,10,2500,1,110733864366329081
ESPORTSTMNT03:3198183,200,3,13,23,2,2,4,1,1,10,2500,1,110733870612047344
ESPORTSTMNT03:3198183,100,13,3,14,0,0,0,0,0,10,2500,0,110534741480867943
ESPORTSTMNT03:3198185,200,11,1,7,0,0,0,0,0,10,2500,0,110733877357854829
ESPORTSTMNT03:3198185,100,1,11,22,1,2,3,1,1,10,2500,1,109981650516317055
ESPORTSTMNT03:3198196,200,8,9,12,1,0,3,0,0,10,2500,1,110534728305628996
ESPORTSTMNT03:3198196,100,9,8,12,1,2,2,1,1,10,2500,0,107580497041999074
ESPORTSTMNT03:3198199,200,11,2,2,0,0,1,0,0,10,2500,0,110733889090164854
ESPORTSTMNT03:3198199,100,2,11,15,1,2,1,1,1,10,2500,1,110534732558665825
ESPORTSTMNT03:3198206,200,10,4,13,0,0,2,0,0,10,2500,0,110534728305628996
ESPORTSTMNT03:3198206,100,4,10,30,1,2,3,1,1,10,2500,1,107580497041999074
ESPORTSTMNT03:3198292,200,14,5,10,0,1,3,0,0,10,2500,0,110534696811298545
ESPORTSTMNT03:3198292,100,5,14,17,2,1,2,1,1,10,2500,1,109783149221216052
ESPORTSTMNT03:3198294,200,12,1,14,0,0,1,0,0,10,2500,0,110534714934488523
ESPORTSTMNT03:3198294,100,1,12,30,1,2,3,1,1,10,2500,1,110733864366329081
ESPORTSTMNT03:3198296,200,4,11,16,1,0,2,1,0,10,2500,1,109783149221216052
ESPORTSTMNT03:3198296,100,11,4,2,0,2,2,0,1,10,2500,0,110534696811298545
ESPORTSTMNT03:3198298,200,9,13,25,1,1,3,0,0,10,2500,1,107580483738977500
ESPORTSTMNT03:3198298,100,13,9,16,2,1,2,1,1,10,2500,0,110534700622694005
ESPORTSTMNT03:3198299,200,0,11,33,1,1,3,1,0,10,2500,1,107580483738977500
ESPORTSTMNT03:3198299,100,11,0,3,0,1,0,0,1,10,2500,0,110534700622694005
ESPORTSTMNT03:3198544,200,6,13,31,1,1,4,0,1,10,2500,1,110733877357854829
ESPORTSTMNT03:3198544,100,13,6,18,2,1,2,1,0,10,2500,0,110733889090164854
ESPORTSTMNT03:3198546,200,2,9,26,1,1,4,1,0,10,2500,1,110733877357854829
ESPORTSTMNT03:3198546,100,9,2,10,0,1,0,0,1,10,2500,0,110733889090164854
ESPORTSTMNT03:3198553,200,10,2,14,0,1,2,0,1,10,2500,0,110534741480867943
ESPORTSTMNT03:3198553,100,2,10,25,1,1,2,1,0,10,2500,1,107580497041999074
ESPORTSTMNT03:3198611,200,11,0,12,0,1,0,0,1,10,2500,0,110534696811298545
ESPORTSTMNT03:3198611,100,0,11,20,0,1,2,0,0,10,2500,1,109981650516317055
