tournament_slugs,year_of_tournament
Nacl Qualifiers 2 Summer 2023,2023
Gll Summer 2023,2023
Elite Series Summer 2023,2023
Superliga Summer 2023,2023
Ultraliga Summer 2023,2023
Lpl Regional Finals 2023,2023
Tcl Summer 2023,2023
Nlc Summer 2023,2023
Ljl Academy 2023,2023
Pg Nationals Summer 2023,2023
Ebl Summer 2023,2023
Lrs Closing 2023,2023
Liga Portuguesa Summer 2023,2023
Lck Challengers Spring 2023,2023
Elements League Opening 2022,2022
Lck Challengers Spring 2022,2022
Hitpoint Masters Summer 2021,2021
Tal Summer 2021,2021
Nlc Summer 2021,2021
Pg Nationals Summer 2021,2021
Prime League Summer 2021,2021
Pcs Summer 2021,2021
Lpl Summer 2023,2023
Vcs Summer 2023,2023
Vcs Spring 2023,2023
Ddh Opening 2023,2023
Elite Series Spring 2023,2023
Cblol Academy Split 1 2022,2022
Lck Summer 2021,2021
Msi 2021,2021
Lcs Summer 2021,2021
Ultraliga Spring 2021,2021
Lck Challengers Spring 2021,2021
Midseason Cup 2020,2020
Lcs Academy Summer 2020,2020
Ljl Spring 2020,2020
Opl 2020 Split1,2020
Cblol Academy 2023 Split 2,2023
Golden League Opening 2023,2023
Lcs Proving Grounds Summer 2022,2022
Pcs Spring 2022,2022
Nlc Spring 2023,2023
Lck Summer 2022,2022
Prime League Summer 2022,2022
Hitpoint Masters Summer 2022,2022
Superliga Spring 2022,2022
Esports Balkan League Summer 2021,2021
Belgian League 2021 Split2,2021
Lla Closing 2023,2023
Lco Split 2 2022,2022
Cblol 2020 Split1,2020
Emea Masters Spring Main 2023,2023
Superliga Spring 2023,2023
Honor Division Closing 2022,2022
Lck Academy 01 2022,2022
Lck Challengers Summer 2022,2022
Lec Spring 2022,2022
Lck Challengers Summer 2021,2021
Tal Winter 2021,2021
Pcs Spring 2023,2023
Lfl Spring 2023,2023
Lcs Academy Summer 2022,2022
Cblol Academy Split 2 2022,2022
Lec Spring 2021,2021
Tcl Summer 2020,2020
Lck Summer 2020,2020
Lcl Summer 2021,2021
Liga Portuguesa Summer 2021,2021
Lcs Proving Grounds Spring 2021,2021
Nacl Summer 2023,2023
Stars League Opening 2022,2022
Ultraliga Spring 2022,2022
Msi 2022,2022
Lfl 2021 Summer,2021
Lco Split 2 2021,2021
