long_official_team_id,platformGameId,teamID,building_destroyed,destroyed_opponent_buildings,champion_kill,baron_kill,riftHerald_kill,dragon_kill,first_baron_team,first_riftHerald_team,game_end,ward_killed,ward_placed,match_numbers,team_name
105521293297166647,"ESPORTSTMNT01:3369698, ESPORTSTMNT01:3372328, ESPORTSTMNT01:3384405, ESPORTSTMNT01:3385039, ESPORTSTMNT01:3389698, ESPORTSTMNT03:3165840, ESPORTSTMNT03:3167097, ESPORTSTMNT03:3167347, ESPORTSTMNT01:3390833, ESPORTSTMNT03:3174629, ESPORTSTMNT03:3176234, ESPORTSTMNT03:3182739, ESPORTSTMNT03:3184119, ESPORTSTMNT03:3185523, ESPORTSTMNT01:3303646, ESPORTSTMNT01:3305983, ESPORTSTMNT01:3313816, ESPORTSTMNT03:3090142, ESPORTSTMNT03:3090376, ESPORTSTMNT03:3096421, ESPORTSTMNT03:3096881, ESPORTSTMNT01:3317104, ESPORTSTMNT02:3157901, ESPORTSTMNT02:3159221, ESPORTSTMNT02:3168679, ESPORTSTMNT03:3119765, ESPORTSTMNT03:3120750, ESPORTSTMNT03:3121204",4000,242,142,324,14,19,49,10,13,8,853,1818,28,Hell Zerolag Esports
105521674055625312,"ESPORTSTMNT01:3369698, ESPORTSTMNT01:3373365, ESPORTSTMNT01:3382512, ESPORTSTMNT01:3382983, ESPORTSTMNT03:3165797, ESPORTSTMNT03:3166149, ESPORTSTMNT03:3166463, ESPORTSTMNT03:3184143, ESPORTSTMNT01:3389839, ESPORTSTMNT01:3390621, ESPORTSTMNT03:3174629, ESPORTSTMNT03:3176263, ESPORTSTMNT03:3184549, ESPORTSTMNT03:3195550, ESPORTSTMNT03:3195570, ESPORTSTMNT03:3195598, ESPORTSTMNT03:3197538, ESPORTSTMNT06:2822208, ESPORTSTMNT06:2822219, ESPORTSTMNT06:2822222, ESPORTSTMNT01:3305499, ESPORTSTMNT01:3308027, ESPORTSTMNT01:3313790, ESPORTSTMNT03:3089189, ESPORTSTMNT03:3089445, ESPORTSTMNT03:3096421, ESPORTSTMNT03:3097817, ESPORTSTMNT01:3316191, ESPORTSTMNT02:3157901, ESPORTSTMNT02:3159266, ESPORTSTMNT02:3168645, ESPORTSTMNT03:3118744, ESPORTSTMNT03:3121231, ESPORTSTMNT03:3122713",5000,248,242,480,23,43,60,18,22,14,1322,2720,34,Gamespace Mediterranean College Esports
105521706535388095,"ESPORTSTMNT01:3369750, ESPORTSTMNT01:3373407, ESPORTSTMNT01:3383508, ESPORTSTMNT01:3385039, ESPORTSTMNT01:3389698, ESPORTSTMNT01:3390879, ESPORTSTMNT03:3166207, ESPORTSTMNT03:3166463, ESPORTSTMNT03:3166786, ESPORTSTMNT03:3176286, ESPORTSTMNT03:3176620, ESPORTSTMNT03:3180760, ESPORTSTMNT03:3184143, ESPORTSTMNT03:3185548, ESPORTSTMNT01:3407892, ESPORTSTMNT01:3408868, ESPORTSTMNT01:3409803, ESPORTSTMNT01:3409822, ESPORTSTMNT01:3409862, ESPORTSTMNT03:3189910, ESPORTSTMNT03:3190842, ESPORTSTMNT03:3190919, ESPORTSTMNT03:3191737, ESPORTSTMNT03:3191822, ESPORTSTMNT03:3195550, ESPORTSTMNT03:3195570, ESPORTSTMNT03:3195598, ESPORTSTMNT03:3197538, ESPORTSTMNT05:3220311, ESPORTSTMNT05:3220315, ESPORTSTMNT05:3220355, ESPORTSTMNT05:3222290, ESPORTSTMNT05:3222333, ESPORTSTMNT05:3222338, ESPORTSTMNT04:2692230, ESPORTSTMNT04:2692239, ESPORTSTMNT04:2692260, ESPORTSTMNT04:2692273, ESPORTSTMNT04:2693213, ESPORTSTMNT04:2693254, ESPORTSTMNT04:2693281, ESPORTSTMNT04:2693284, ESPORTSTMNT05:3239445, ESPORTSTMNT05:3239449, ESPORTSTMNT05:3239471, ESPORTSTMNT05:3239472, ESPORTSTMNT05:3240461, ESPORTSTMNT05:3240492, ESPORTSTMNT05:3220086, ESPORTSTMNT05:3220107, ESPORTSTMNT05:3221120, ESPORTSTMNT05:3221196, ESPORTSTMNT05:3221198, ESPORTSTMNT05:3221199, ESPORTSTMNT05:3222094, ESPORTSTMNT05:3222120, ESPORTSTMNT05:3222124, ESPORTSTMNT01:3305621, ESPORTSTMNT01:3308027, ESPORTSTMNT01:3313862, ESPORTSTMNT01:3316208, ESPORTSTMNT03:3089465, ESPORTSTMNT03:3091162, ESPORTSTMNT03:3095557, ESPORTSTMNT03:3096881, ESPORTSTMNT01:3337860, ESPORTSTMNT01:3337875, ESPORTSTMNT01:3338849, ESPORTSTMNT01:3338905, ESPORTSTMNT02:3158340, ESPORTSTMNT02:3159882, ESPORTSTMNT02:3168679, ESPORTSTMNT03:3117841, ESPORTSTMNT03:3120825, ESPORTSTMNT03:3121231, ESPORTSTMNT03:3127878, ESPORTSTMNT03:3127918, ESPORTSTMNT03:3127936, ESPORTSTMNT03:3128976, ESPORTSTMNT03:3128992",11600,443,699,1276,72,86,171,47,50,53,3483,7878,80,Anorthosis Famagusta Esports
108078422885368642,"ESPORTSTMNT01:3369750, ESPORTSTMNT01:3373365, ESPORTSTMNT01:3384405, ESPORTSTMNT01:3385015, ESPORTSTMNT03:3165885, ESPORTSTMNT03:3166123, ESPORTSTMNT03:3167447, ESPORTSTMNT03:3176620, ESPORTSTMNT03:3185169, ESPORTSTMNT01:3388808, ESPORTSTMNT01:3390833, ESPORTSTMNT03:3176263, ESPORTSTMNT03:3182799, ESPORTSTMNT03:3183492, ESPORTSTMNT01:3305621, ESPORTSTMNT01:3308108, ESPORTSTMNT01:3313836, ESPORTSTMNT03:3090142, ESPORTSTMNT03:3091438, ESPORTSTMNT03:3097422, ESPORTSTMNT03:3097817, ESPORTSTMNT01:3317104, ESPORTSTMNT02:3158953, ESPORTSTMNT02:3159343, ESPORTSTMNT02:3168645, ESPORTSTMNT03:3117841, ESPORTSTMNT03:3120784, ESPORTSTMNT03:3122287, ESPORTSTMNT03:3129221, ESPORTSTMNT03:3129232, ESPORTSTMNT03:3131117, ESPORTSTMNT03:3131174",4900,256,177,423,15,29,52,11,13,14,1012,2529,32,Panathinaikos Esports
102787200149928963,"ESPORTSTMNT01:3370824, ESPORTSTMNT01:3372328, ESPORTSTMNT01:3382983, ESPORTSTMNT01:3383466, ESPORTSTMNT03:3165885, ESPORTSTMNT03:3166207, ESPORTSTMNT03:3166491, ESPORTSTMNT03:3174697, ESPORTSTMNT03:3185548, ESPORTSTMNT01:3390621, ESPORTSTMNT01:3391036, ESPORTSTMNT01:3407892, ESPORTSTMNT01:3408868, ESPORTSTMNT01:3409803, ESPORTSTMNT01:3409822, ESPORTSTMNT01:3409862, ESPORTSTMNT03:3176234, ESPORTSTMNT03:3182799, ESPORTSTMNT03:3185130, ESPORTSTMNT03:3189910, ESPORTSTMNT03:3190842, ESPORTSTMNT03:3190919, ESPORTSTMNT03:3191737, ESPORTSTMNT03:3191822, ESPORTSTMNT04:2693223, ESPORTSTMNT04:2694194, ESPORTSTMNT04:2692265, ESPORTSTMNT04:2692271, ESPORTSTMNT04:2692309, ESPORTSTMNT04:2692312, ESPORTSTMNT04:2694185, ESPORTSTMNT04:2694231, ESPORTSTMNT04:2694237, ESPORTSTMNT05:3220124, ESPORTSTMNT05:3221089, ESPORTSTMNT05:3221112, ESPORTSTMNT05:3221126, ESPORTSTMNT05:3221196, ESPORTSTMNT05:3221198, ESPORTSTMNT05:3221199, ESPORTSTMNT05:3222079, ESPORTSTMNT05:3222096, ESPORTSTMNT01:3303646, ESPORTSTMNT01:3308067, ESPORTSTMNT01:3313862, ESPORTSTMNT03:3089189, ESPORTSTMNT03:3091438, ESPORTSTMNT03:3096498, ESPORTSTMNT03:3097922, ESPORTSTMNT01:3316191, ESPORTSTMNT01:3337860, ESPORTSTMNT01:3337875, ESPORTSTMNT01:3338849, ESPORTSTMNT01:3338905, ESPORTSTMNT02:3159343, ESPORTSTMNT02:3160023, ESPORTSTMNT02:3167760, ESPORTSTMNT03:3119765, ESPORTSTMNT03:3120825, ESPORTSTMNT03:3121290, ESPORTSTMNT03:3129221, ESPORTSTMNT03:3129232, ESPORTSTMNT03:3129957, ESPORTSTMNT03:3130946, ESPORTSTMNT03:3131117, ESPORTSTMNT03:3131174, ESPORTSTMNT03:3131920, ESPORTSTMNT03:3131927",10700,405,546,1183,52,72,176,38,28,44,2780,6302,68,WLGaming Esports
105521637552587612,"ESPORTSTMNT01:3370824, ESPORTSTMNT01:3374235, ESPORTSTMNT01:3383508, ESPORTSTMNT01:3383851, ESPORTSTMNT01:3390584, ESPORTSTMNT01:3390879, ESPORTSTMNT03:3165797, ESPORTSTMNT03:3167097, ESPORTSTMNT03:3167447, ESPORTSTMNT03:3174697, ESPORTSTMNT03:3176207, ESPORTSTMNT03:3185169, ESPORTSTMNT03:3185523, ESPORTSTMNT06:2822208, ESPORTSTMNT06:2822219, ESPORTSTMNT06:2822222, ESPORTSTMNT01:3305565, ESPORTSTMNT01:3308108, ESPORTSTMNT01:3313816, ESPORTSTMNT01:3316208, ESPORTSTMNT03:3089445, ESPORTSTMNT03:3091162, ESPORTSTMNT03:3096498, ESPORTSTMNT03:3096951, ESPORTSTMNT02:3159266, ESPORTSTMNT02:3160023, ESPORTSTMNT02:3168742, ESPORTSTMNT03:3118823, ESPORTSTMNT03:3120750, ESPORTSTMNT03:3122287, ESPORTSTMNT03:3127878, ESPORTSTMNT03:3127918, ESPORTSTMNT03:3127936, ESPORTSTMNT03:3128976, ESPORTSTMNT03:3128992, ESPORTSTMNT03:3129957, ESPORTSTMNT03:3130946, ESPORTSTMNT03:3131920, ESPORTSTMNT03:3131927",5600,292,263,515,31,47,84,21,27,17,1523,3205,39,Team Phantasma
109671413728531527,"ESPORTSTMNT01:3371651, ESPORTSTMNT01:3374235, ESPORTSTMNT01:3383466, ESPORTSTMNT01:3385015, ESPORTSTMNT03:3166149, ESPORTSTMNT03:3166786, ESPORTSTMNT03:3167347, ESPORTSTMNT03:3176207, ESPORTSTMNT03:3180760, ESPORTSTMNT01:3388808, ESPORTSTMNT01:3391036, ESPORTSTMNT03:3176526, ESPORTSTMNT03:3184119, ESPORTSTMNT03:3184549, ESPORTSTMNT01:3305565, ESPORTSTMNT01:3305983, ESPORTSTMNT01:3313790, ESPORTSTMNT03:3089465, ESPORTSTMNT03:3090135, ESPORTSTMNT03:3097422, ESPORTSTMNT03:3097922, ESPORTSTMNT01:3316094, ESPORTSTMNT02:3158340, ESPORTSTMNT02:3158953, ESPORTSTMNT02:3167760, ESPORTSTMNT03:3118823, ESPORTSTMNT03:3121204, ESPORTSTMNT03:3122713",4400,252,143,370,18,20,66,12,5,9,1129,2009,28,Pentagon Rejects
107067065368380132,"ESPORTSTMNT01:3371651, ESPORTSTMNT01:3373407, ESPORTSTMNT01:3382512, ESPORTSTMNT01:3383851, ESPORTSTMNT01:3390584, ESPORTSTMNT03:3165840, ESPORTSTMNT03:3166123, ESPORTSTMNT03:3166491, ESPORTSTMNT03:3176286, ESPORTSTMNT01:3389839, ESPORTSTMNT03:3176526, ESPORTSTMNT03:3182739, ESPORTSTMNT03:3183492, ESPORTSTMNT03:3185130, ESPORTSTMNT01:3305499, ESPORTSTMNT01:3308067, ESPORTSTMNT01:3313836, ESPORTSTMNT03:3090135, ESPORTSTMNT03:3090376, ESPORTSTMNT03:3095557, ESPORTSTMNT03:3096951, ESPORTSTMNT01:3316094, ESPORTSTMNT02:3159221, ESPORTSTMNT02:3159882, ESPORTSTMNT02:3168742, ESPORTSTMNT03:3118744, ESPORTSTMNT03:3120784, ESPORTSTMNT03:3121290",4400,245,157,367,15,17,52,9,11,10,1159,2368,28,Wild Panthers Esports
110534741480867943,"ESPORTSTMNT03:3195064, ESPORTSTMNT03:3196051, ESPORTSTMNT03:3198183, ESPORTSTMNT03:3198553, ESPORTSTMNT03:3199172, ESPORTSTMNT03:3199526, ESPORTSTMNT03:3199528, ESPORTSTMNT01:3379581, ESPORTSTMNT01:3380486, ESPORTSTMNT01:3388312, ESPORTSTMNT01:3390141, ESPORTSTMNT01:3393440, ESPORTSTMNT01:3393445, ESPORTSTMNT01:3393446",2100,124,88,281,6,8,28,2,5,6,398,1141,14,Teamless Revenge
107580497041999074,"ESPORTSTMNT03:3195064, ESPORTSTMNT03:3196051, ESPORTSTMNT03:3198196, ESPORTSTMNT03:3198206, ESPORTSTMNT03:3198553, ESPORTSTMNT03:3198621, ESPORTSTMNT03:3198727, ESPORTSTMNT03:3198737, ESPORTSTMNT03:3199526, ESPORTSTMNT03:3199528, ESPORTSTMNT03:3199703, ESPORTSTMNT03:3200165, ESPORTSTMNT03:3200613, ESPORTSTMNT03:3200614, ESPORTSTMNT01:3379581, ESPORTSTMNT01:3380486, ESPORTSTMNT01:3388271, ESPORTSTMNT01:3388300, ESPORTSTMNT01:3390109, ESPORTSTMNT01:3393609, ESPORTSTMNT01:3394585, ESPORTSTMNT01:3394793, ESPORTSTMNT01:3394797, ESPORTSTMNT01:3394829, ESPORTSTMNT01:3394831, ESPORTSTMNT01:3395093, ESPORTSTMNT01:3395123, ESPORTSTMNT01:3395129, ESPORTSTMNT01:3395131, ESPORTSTMNT01:3301814, ESPORTSTMNT01:3302753, ESPORTSTMNT01:3312264, ESPORTSTMNT01:3314229, ESPORTSTMNT01:3315993, ESPORTSTMNT01:3316869, ESPORTSTMNT01:3318007, ESPORTSTMNT01:3317962, ESPORTSTMNT01:3317970, ESPORTSTMNT01:3318108, ESPORTSTMNT03:3128234, ESPORTSTMNT03:3128256, ESPORTSTMNT03:3129746, ESPORTSTMNT03:3129751, ESPORTSTMNT03:3130702, ESPORTSTMNT06:2777049, ESPORTSTMNT06:2777058",7100,292,351,756,32,52,93,24,26,26,1555,3817,46,Team Ambition
